CustomerID,Age,AnnualIncome,SpendingScore,Gender
1,27,70,40,Female
2,39,180,65,Male
3,45,290,75,Female
4,21,25,20,Male
5,58,450,90,Female
6,33,90,50,Male
7,50,310,70,Female
8,41,150,60,Male
9,29,60,35,Female
10,35,200,70,Male
11,43,270,75,Female
12,47,300,80,Male
13,24,40,30,Female
14,46,280,75,Male
15,59,460,95,Female
16,31,85,45,Male
17,52,340,80,Female
18,36,130,55,Male
19,26,50,35,Female
20,42,220,70,Male
21,25,55,40,Female
22,44,260,75,Male
23,56,420,90,Female
24,32,80,45,Male
25,49,290,70,Female
26,38,170,65,Male
27,28,45,30,Female
28,45,310,75,Male
29,57,470,95,Female
30,34,100,50,Male
31,53,350,85,Female
32,37,140,60,Male
33,27,65,40,Female
34,43,230,70,Male
35,55,390,90,Female
36,30,75,45,Male
37,51,310,75,Female
38,38,170,60,Male
39,27,55,35,Female
40,46,260,70,Male
41,58,480,95,Female
42,33,105,50,Male
43,54,360,85,Female
44,36,145,60,Male
45,25,70,40,Female
46,47,270,75,Male
47,56,440,90,Female
48,31,80,45,Male
49,50,280,70,Female
50,40,190,65,Male
51,28,60,35,Female
52,44,300,75,Male
53,57,460,95,Female
54,32,90,50,Male
55,52,330,80,Female
56,35,135,55,Male
57,26,50,35,Female
58,45,280,75,Male
59,55,430,90,Female
60,30,85,45,Male
61,49,290,70,Female
62,38,200,65,Male
63,27,55,35,Female
64,42,310,75,Male
65,57,480,95,Female
66,34,110,50,Male
67,53,370,85,Female
68,36,150,60,Male
69,25,75,40,Female
70,46,270,75,Male
71,56,450,90,Female
72,31,80,45,Male
73,50,300,70,Female
74,39,210,65,Male
75,28,65,35,Female
76,43,320,75,Male
77,59,490,95,Female
78,34,110,50,Male
79,54,380,85,Female
80,35,155,60,Male
81,26,85,40,Female
82,44,290,75,Male
83,57,470,90,Female
84,30,90,45,Male
85,49,310,70,Female
86,38,220,65,Male
87,27,70,35,Female
88,41,340,75,Male
89,58,500,95,Female
90,33,115,50,Male
91,52,390,85,Female
92,35,155,60,Male
93,26,85,40,Female
94,46,290,75,Male
95,55,470,90,Female
96,30,90,45,Male
97,49,320,70,Female
98,38,220,65,Male
99,27,70,35,Female
100,44,350,75,Male
101,55,520,95,Female
102,33,125,50,Male
103,51,400,85,Female
104,36,170,60,Male
105,26,90,40,Female
106,44,310,75,Male
107,57,490,90,Female
108,30,100,45,Male
109,48,330,70,Female
110,37,240,65,Male
111,27,80,35,Female
112,42,360,75,Male
113,58,530,95,Female
114,34,130,50,Male
115,52,410,85,Female
116,35,180,60,Male
117,25,95,40,Female
118,43,320,75,Male
119,56,500,90,Female
120,31,110,45,Male
121,49,340,70,Female
122,38,250,65,Male
123,28,85,35,Female
124,41,370,75,Male
125,57,540,95,Female
126,32,135,50,Male
127,50,420,85,Female
128,36,190,60,Male
129,26,100,40,Female
130,44,330,75,Male
131,55,510,90,Female
132,30,115,45,Male
133,48,350,70,Female
134,37,260,65,Male
135,27,90,35,Female
136,42,380,75,Male
137,58,550,95,Female
138,33,140,50,Male
139,51,430,85,Female
140,35,200,60,Male
141,25,105,40,Female
142,43,340,75,Male
143,56,520,90,Female
144,31,120,45,Male
145,49,360,70,Female
146,38,270,65,Male
147,28,95,35,Female
148,41,390,75,Male
149,57,560,95,Female
150,32,145,50,Male
151,50,440,85,Female
152,36,210,60,Male
153,26,110,40,Female
154,44,350,75,Male
155,55,530,90,Female
156,30,125,45,Male
157,48,370,70,Female
158,37,280,65,Male
159,27,100,35,Female
160,42,400,75,Male
161,58,570,95,Female
162,33,150,50,Male
163,51,450,85,Female
164,35,220,60,Male
165,25,115,40,Female
166,43,360,75,Male
167,56,540,90,Female
168,31,130,45,Male
169,49,380,70,Female
170,38,290,65,Male
171,28,105,35,Female
172,41,410,75,Male
173,57,580,95,Female
174,32,155,50,Male
175,50,460,85,Female
176,36,230,60,Male
177,26,120,40,Female
178,44,370,75,Male
179,55,550,90,Female
180,30,135,45,Male
181,48,390,70,Female
182,37,300,65,Male
183,27,110,35,Female
184,42,420,75,Male
185,58,590,95,Female
186,33,160,50,Male
187,51,470,85,Female
188,35,240,60,Male
189,25,125,40,Female
190,43,380,75,Male
191,56,560,90,Female
192,31,140,45,Male
193,49,400,70,Female
194,38,310,65,Male
195,28,115,35,Female
196,41,430,75,Male
197,57,600,95,Female
198,32,165,50,Male
199,50,480,85,Female
200,36,250,60,Male
201,26,130,40,Female
202,44,390,75,Male
203,55,570,90,Female
204,30,145,45,Male
205,48,410,70,Female
206,37,320,65,Male
207,27,120,35,Female
208,42,440,75,Male
209,58,610,95,Female
210,33,170,50,Male
211,51,490,85,Female
212,35,260,60,Male
213,25,135,40,Female
214,43,400,75,Male
215,56,580,90,Female
216,31,150,45,Male
217,49,420,70,Female
218,38,330,65,Male
219,28,125,35,Female
220,41,450,75,Male
221,57,620,95,Female
222,32,175,50,Male
223,50,500,85,Female
224,36,270,60,Male
225,26,140,40,Female
226,44,410,75,Male
227,55,590,90,Female
228,30,155,45,Male
229,48,430,70,Female
230,37,340,65,Male
231,27,130,35,Female
232,42,460,75,Male
233,58,630,95,Female
234,33,180,50,Male
235,51,510,85,Female
236,35,280,60,Male
237,25,145,40,Female
238,43,420,75,Male
239,56,600,90,Female
240,31,160,45,Male
241,49,440,70,Female
242,38,350,65,Male
243,28,135,35,Female
244,41,470,75,Male
245,57,640,95,Female
246,32,185,50,Male
247,50,520,85,Female
248,36,290,60,Male
249,26,150,40,Female
250,44,430,75,Male
251,55,610,90,Female
252,30,165,45,Male
253,48,450,70,Female
254,37,360,65,Male
255,27,140,35,Female
256,42,480,75,Male
257,58,650,95,Female
258,33,190,50,Male
259,51,530,85,Female
260,35,300,60,Male
261,25,155,40,Female
262,43,440,75,Male
263,56,620,90,Female
264,31,170,45,Male
265,49,460,70,Female
266,38,370,65,Male
267,28,145,35,Female
268,41,490,75,Male
269,57,660,95,Female
270,32,195,50,Male
271,50,540,85,Female
272,36,310,60,Male
273,26,160,40,Female
274,44,450,75,Male
275,55,630,90,Female
276,30,175,45,Male
277,48,470,70,Female
278,37,380,65,Male
279,27,150,35,Female
280,42,500,75,Male
281,58,670,95,Female
282,33,200,50,Male
283,51,550,85,Female
284,35,320,60,Male
285,25,165,40,Female
286,43,460,75,Male
287,56,640,90,Female
288,31,180,45,Male
289,49,480,70,Female
290,38,390,65,Male
291,28,155,35,Female
292,41,510,75,Male
293,57,680,95,Female
294,32,205,50,Male
295,50,560,85,Female
296,36,330,60,Male
297,26,170,40,Female
298,44,470,75,Male
299,55,650,90,Female
300,30,185,45,Male
301,48,490,70,Female
302,37,400,65,Male
303,27,160,35,Female
304,42,520,75,Male
305,58,690,95,Female
306,33,210,50,Male
307,51,570,85,Female
308,35,340,60,Male
309,25,175,40,Female
310,43,480,75,Male
311,56,660,90,Female
312,31,190,45,Male
313,49,500,70,Female
314,38,410,65,Male
315,28,165,35,Female
316,41,530,75,Male
317,57,700,95,Female
318,32,215,50,Male
319,50,580,85,Female
320,36,350,60,Male
321,26,180,40,Female
322,44,490,75,Male
323,55,670,90,Female
324,30,195,45,Male
325,48,510,70,Female
326,37,420,65,Male
327,27,170,35,Female
328,42,540,75,Male
329,58,710,95,Female
330,33,220,50,Male
331,51,590,85,Female
332,35,360,60,Male
333,25,185,40,Female
334,43,500,75,Male
335,56,680,90,Female
336,31,200,45,Male
337,49,520,70,Female
338,38,430,65,Male
339,28,175,35,Female
340,41,550,75,Male
341,57,720,95,Female
342,32,225,50,Male
343,50,600,85,Female
344,36,370,60,Male
345,26,190,40,Female
346,44,510,75,Male
347,55,690,90,Female
348,30,205,45,Male
349,48,530,70,Female
350,37,440,65,Male
351,27,180,35,Female
352,42,560,75,Male
353,58,730,95,Female
354,33,230,50,Male
355,51,610,85,Female
356,35,380,60,Male
357,25,195,40,Female
358,43,520,75,Male
359,56,700,90,Female
360,31,210,45,Male
361,49,540,70,Female
362,38,450,65,Male
363,28,185,35,Female
364,41,570,75,Male
365,57,740,95,Female
366,32,235,50,Male
367,50,620,85,Female
368,36,390,60,Male
369,26,200,40,Female
370,44,530,75,Male
371,55,710,90,Female
372,30,215,45,Male
373,48,550,70,Female
374,37,460,65,Male
375,27,190,35,Female
376,42,580,75,Male
377,58,750,95,Female
378,33,240,50,Male
379,51,630,85,Female
380,35,400,60,Male
381,25,205,40,Female
382,43,540,75,Male
383,56,720,90,Female
384,31,220,45,Male
385,49,560,70,Female
386,38,470,65,Male
387,28,195,35,Female
388,41,590,75,Male
